language_id,deck_id,word_english,word_target_language,pronunciation
6,1,Hello,Hola,
6,1,Goodbye,Adiós,
6,1,How are you?,¿Cómo está usted?,
6,1,What is your name?,¿Cómo se llama usted?  ,
6,1,My name is…,Me llamo ...,
6,1,Please,Por favor,
6,1,Thank you,Gracias,
6,1,Yes,Sí,
6,1,No,No,
6,1,Do you speak English?,¿Habla inglés?,
6,1,How much is this?,¿Cuánto cuesta esto?,
6,1,Congratulations,¡Felicitaciones!,
6,1,Excuse me,¡Perdón!,
6,1,Sorry,¡Lo siento!,
6,1,Cheers!,¡Salud!,
6,2,one,uno,
6,2,two,dos,
6,2,three,tres,
6,2,four,cuatro,
6,2,five,cinco,
6,2,six,seis,
6,2,seven,siete,
6,2,eight,ocho,
6,2,nine,nueve,
6,2,ten,diez,
6,2,eleven,once,
6,2,twelve,doce,
6,2,thirteen,trece,
6,2,fourteen,catorce,
6,2,fifteen,quince,
6,2,sixteen,dieciséis,
6,2,seventeen,diecisiete,
6,2,eighteen,dieciocho,
6,2,nineteen,diecinueve,
6,2,twenty,veinte,
6,3,red,rojo,
6,3,orange,anaranjado,
6,3,yellow,amarillo,
6,3,green,verde,
6,3,blue,azul,
6,3,purple,morado,
6,3,black,negro,
6,3,white,blanco,
6,3,brown,marrón,
6,3,grey,gris,
6,3,pink,rosado,
6,4,Monday,lunes,
6,4,Tuesday,martes,
6,4,Wednesday,miércoles,
6,4,Thursday,jueves,
6,4,Friday,viernes,
6,4,Saturday,sábado,
6,4,Sunday,domingo,
6,5,January,enero,
6,5,February,febrero,
6,5,March,marzo,
6,5,April,abril,
6,5,May,mazo,
6,5,June,junio,
6,5,July,julio,
6,5,August,agosto,
6,5,September,septiembre,
6,5,October,octubre,
6,5,November,noviembre,
6,5,December,diciembre,
6,6,father,el padre,
6,6,mother,la madre,
6,6,grandmother,la abuela,
6,6,grandfather,el abuelo,
6,6,son,el hijo,
6,6,daughter,la hija,
6,6,family,la familia,
6,6,parents,los padres,
6,6,husband,el esposo,
6,6,wife,la esposa,
6,6,sister,la hermana,
6,6,brother,el hermano,
6,7,spring,la primavera,
6,7,summer,el verano,
6,7,fall,el otoño,
6,7,winter,el invierno,
6,7,rain,la lluvia,
6,7,snow,la nieve,
6,7,wind,el viento,
6,7,fog,la niebla,
6,7,storm,la tormenta,
6,7,warm,cálido,
6,7,cold,frío,
6,7,humid,húmedo,
6,7,sunny,soleado,
6,7,cloudy,nublado,
6,8,hat,el sombrero,
6,8,shirt,la camisa,
6,8,blouse,la blusa,
6,8,t-shirt,la camiseta,
6,8,suit,el traje,
6,8,tie,la corbata,
6,8,dress,el vestido,
6,8,skirt,la falda,
6,8,pants,los pantalones,
6,8,socks,el calcet,
6,8,shoes,los calcetines,
6,8,belt,el cinturón,
6,8,jacket,la chaqueta,
6,8,coat,el abrigo,
6,8,scarf,la bufanda,
6,9,airplane,el avión,
6,9,bicycle,la bicicleta,
6,9,boat,el barco,
6,9,bus,el autobús,
6,9,car,el coche,
6,9,motorcycle,la motocicleta,
6,9,ship,la embarcación,
6,9,subway,el metro,
6,9,taxi,el taxi,
6,9,train,el tren,
6,10,airport,el aeropuerto,
6,10,train station,la estación de tren,
6,10,apartment,el apartamento,
6,10,house,la casa,
6,10,hospital,el hospital,
6,10,gas station,la gasolinera,
6,10,grocery store,la tienda de abarrotes,
6,10,library,la biblioteca,
6,10,movie theater,el cine,
6,10,museum,el museo,
6,10,restaurant,el restaurante,
6,10,school,la escuela,
6,10,coffee shop,la cafetería,
6,10,bank,el banco,
